Phone	Word	Counts
n	banana	66
n	elephant	42
n	train	41
n	bench	41
n	sandwich	39
n	spoon	39
n	snowboard	39
n	orange	37
n	airplane	34
n	donut	32
n	knife	31
n	person	12
n	handbag	7
ai	motorcycle	44
ai	microwave	42
ai	tie	39
ai	kite	37
ai	bicycle	35
ai	knife	31
ai	person	1
f	fork	49
f	frisbee	45
f	giraffe	45
f	elephant	42
f	refrigerator	38
f	surfboard	38
f	knife	31
#	sink	30
#	broccoli	29
#	cake	28
#	truck	26
#	car	26
#	mouse	25
#	suitcase	23
#	frisbee	23
#	umbrella	22
#	fork	22
#	microwave	21
#	toothbrush	19
#	motorcycle	18
#	tv	18
#	skateboard	17
#	scissors	17
#	bowl	17
#	oven	17
#	tie	17
#	knife	16
#	skis	16
#	kite	16
#	pizza	16
#	cup	16
#	sheep	16
#	snowboard	15
#	chair	15
#	cow	15
#	bus	15
#	couch	15
#	carrot	15
#	spoon	14
#	keyboard	14
#	vase	13
#	refrigerator	13
#	bed	13
#	bicycle	13
#	backpack	12
#	remote	11
#	toilet	11
#	dog	11
#	bench	11
#	banana	10
#	apple	9
#	horse	9
#	bottle	9
#	boat	8
#	donut	8
#	laptop	8
#	train	7
#	airplane	7
#	surfboard	7
#	elephant	7
#	sandwich	6
#	bird	6
#	cat	6
#	book	5
#	zebra	4
#	giraffe	4
#	clock	3
#	toaster	3
#	orange	3
#	bear	2
#	handbag	1
#	person	1
m	mouse	45
m	remote	44
m	motorcycle	44
m	microwave	42
m	umbrella	35
m	person	12
k	cake	104
k	clock	84
k	backpack	84
k	truck	52
k	fork	49
k	sink	48
k	cow	47
k	book	46
k	broccoli	46
k	skis	45
k	motorcycle	44
k	car	43
k	microwave	42
k	suitcase	42
k	cup	41
k	cat	40
k	couch	37
k	kite	37
k	bicycle	35
k	carrot	34
k	skateboard	31
k	keyboard	29
r	refrigerator	120
r	truck	52
r	broccoli	46
r	frisbee	45
r	giraffe	45
r	remote	44
r	microwave	42
r	train	41
r	toothbrush	40
r	orange	37
r	umbrella	35
r	carrot	34
r	zebra	31
r	bear	26
r	chair	25
r	horse	24
r	snowboard	21
r	fork	21
r	surfboard	20
r	airplane	17
r	skateboard	10
r	keyboard	10
r	car	2
@	elephant	84
@	banana	66
@	broccoli	46
@	refrigerator	44
@	microwave	42
@	umbrella	35
@	pizza	35
@	carrot	34
@	zebra	31
@	giraffe	23
@	motorcycle	20
@	toilet	17
@	scissors	13
@	car	10
@	person	4
w	microwave	42
w	sandwich	39
w	person	4
w	remote	3
ei	cake	52
ei	microwave	42
ei	suitcase	42
ei	train	41
ei	refrigerator	37
ei	airplane	34
ei	skateboard	31
ei	vase	25
v	vase	46
v	microwave	42
v	tv	39
v	oven	32
a	backpack	84
a	apple	46
a	cat	40
a	sandwich	39
a	laptop	35
a	carrot	34
a	giraffe	23
a	banana	17
a	handbag	14
a	person	8
p	laptop	70
p	apple	46
p	backpack	42
p	cup	41
p	spoon	39
p	sheep	39
p	pizza	35
p	airplane	34
p	person	33
p	train	1
l=	apple	46
l=	motorcycle	44
l=	bottle	43
l=	bicycle	35
l=	person	15
au	cow	47
au	mouse	45
au	couch	37
ch	bench	41
ch	chair	39
ch	couch	37
ch	sandwich	18
ch	person	1
s	suitcase	84
s	sink	48
s	mouse	45
s	skis	45
s	bus	45
s	motorcycle	44
s	horse	43
s	sandwich	39
s	spoon	39
s	snowboard	39
s	surfboard	38
s	scissors	36
s	pizza	35
s	bicycle	35
s	skateboard	31
s	vase	25
s	toaster	4
s	giraffe	4
s	person	3
uh	truck	52
uh	bus	45
uh	cup	41
uh	toothbrush	40
uh	umbrella	35
uh	oven	32
uh	donut	32
b	book	46
b	broccoli	46
b	frisbee	45
b	bus	45
b	bird	44
b	bottle	43
b	backpack	42
b	bench	41
b	boat	41
b	toothbrush	40
b	snowboard	39
b	bed	38
b	surfboard	38
b	bear	37
b	umbrella	35
b	bicycle	35
b	bowl	34
b	banana	33
b	skateboard	31
b	zebra	31
b	keyboard	29
b	handbag	7
b	person	1
e	elephant	42
e	bench	41
e	bed	38
e	umbrella	35
e	bear	22
e	chair	20
e	zebra	18
e	airplane	17
e	train	1
l	broccoli	46
l	clock	42
l	elephant	42
l	umbrella	35
l	laptop	35
l	airplane	34
l	bowl	34
l	toilet	34
l	train	1
l	person	1
u	book	46
u	person	4
t	toilet	67
t	truck	52
t	suitcase	42
t	train	40
t	toothbrush	40
t	remote	40
t	tie	39
t	tv	39
t	laptop	35
t	pizza	35
t	cat	35
t	elephant	34
t	boat	33
t	skateboard	31
t	kite	29
t	donut	27
t	carrot	27
t	bottle	20
t	motorcycle	20
t	refrigerator	16
t	toaster	8
oo	fork	49
oo	horse	43
oo	snowboard	39
oo	surfboard	38
oo	skateboard	31
oo	keyboard	29
oo	orange	18
oo	dog	17
d	dog	45
d	bird	44
d	snowboard	39
d	bed	38
d	surfboard	36
d	donut	32
d	skateboard	31
d	keyboard	29
d	handbag	7
d	person	1
i	refrigerator	75
i	remote	50
i	sink	48
i	frisbee	45
i	sandwich	39
i	orange	37
i	scissors	36
i	bicycle	35
i	giraffe	22
i	toilet	17
z	scissors	72
z	frisbee	45
z	skis	45
z	zebra	34
z	vase	21
z	pizza	4
z	airplane	4
z	sandwich	3
z	banana	1
z	tv	1
z	cow	1
z	car	1
@@	bird	44
@@	surfboard	38
@@	refrigerator	30
@@	motorcycle	24
@@	scissors	23
@@	toaster	4
@@	person	3
o	broccoli	46
o	bottle	43
o	clock	42
o	laptop	35
o	dog	28
o	orange	19
jh	giraffe	45
jh	orange	37
jh	refrigerator	37
jh	sandwich	21
ii	tv	78
ii	broccoli	46
ii	frisbee	45
ii	skis	45
ii	sheep	39
ii	pizza	35
ii	keyboard	29
ii	person	15
ii	zebra	13
g	dog	45
g	handbag	7
ou	remote	44
ou	motorcycle	44
ou	boat	41
ou	snowboard	39
ou	bowl	34
ou	donut	32
ou	toaster	4
d^	motorcycle	24
d^	bottle	23
d^	refrigerator	21
d^	elephant	8
d^	boat	8
d^	kite	8
d^	carrot	7
d^	donut	5
d^	cat	5
d^	remote	4
d^	surfboard	2
d^	toilet	1
h	horse	43
h	handbag	7
uu	suitcase	42
uu	toothbrush	40
uu	spoon	39
ng	sink	48
e@	chair	19
e@	airplane	17
e@	bear	15
n=	oven	32
n=	person	3
oi	toilet	34
oi	person	1
aa	car	43
aa	giraffe	22
aa	vase	21
aa	banana	16
sh	toothbrush	40
sh	sheep	39
th	toothbrush	40
